"","kdagur","nuvirdi","teg_eign","svfn","aldur","fjmib","lyfta","ummal","ibm2","fjhaed","fjbkar","fjsturt","fjklos","fjeld","fjherb","fjstof","stig10","bilskurm2","svalm2","geymm2","matssvaedi","undirmatssvaedi","ibteg"
"39",2277,10.5835494935474,"Parhus","Hfj",16,"1","0",43.2,5.09681299033731,"2","1","1","2","1","4","1",10,30.9,551,-1.8,"640","0","1"
"40",2278,10.9540294179592,"Ibudareign","Kop",6,"1","1",86,5.01462731536579,"1","1","1","1","1","3","1",10,0,235,2.15176220325946,"320","44","2"
"41",2277,9.93928896499951,"Ibudareign","Kop",14,"1","1",96.5,4.45782959808938,"1","0","1","1","1","2","1",10,0,42,2.14006616349627,"340","0","2"
"42",2277,10.0156101536731,"Ibudareign","Kop",18,"1","0",46.7,4.55492896955134,"1","1","1","1","1","2","1",10,0,627,1.94591014905531,"340","0","2"
"43",2278,9.25626930386458,"Ibudareign","Kop",61,"1","0",40.7,4.10098910494077,"1","0","1","1","1","1","1",10,0,1,-1.8,"330","0","2"
"44",2280,9.64504060535268,"Ibudareign","Kop",40,"1","1",155.4,4.36182392735636,"1","1","0","1","1","2","1",10,0,141,-1.8,"320","62","2"
"45",2279,9.50888819773827,"Ibudareign","Rvk",44,"1","0",54,4.27944004589878,"1","1","0","1","1","2","1",10,0,445,1.75785791755237,"161","0","2"
"46",2278,9.79339362973905,"Ibudareign","Rvk",27,"1","1",135,4.52396013056255,"1","1","0","1","1","2","2",10,0,1,-1.8,"120","107","2"
"48",2280,10.2814444212277,"Ibudareign","Rvk",35,"1","0",65.8,4.88658264542628,"2","1","0","2","1","2","2",10,0,1,-1.8,"283","0","2"
"49",2280,10.7352220728521,"Ibudareign","Rvk",53,"1","0",61.3,5.04342511691925,"2","1","0","1","1","4","2",10,55.8,64,-1.8,"80","0","2"
"50",2278,9.96000965286045,"Ibudareign","Rvk",33,"1","0",58.8,4.4818719696436,"1","1","0","1","1","2","1",10,0,536,1.54756250871601,"120","0","2"
"51",2279,9.77956697061665,"Ibudareign","Rvk",29,"1","0",88.2,4.52178857704904,"1","1","0","1","1","2","2",10,0,580,-1.8,"200","0","2"
"52",2278,9.70959935937071,"Ibudareign","Rvk",78,"1","0",46,4.09100566095659,"1","1","0","1","1","1","1",10,0,224,1.93152141160321,"90","12","2"
"53",2278,9.79618069954762,"Ibudareign","Rvk",60,"1","0",50.1,4.47278099794235,"1","0","1","1","1","2","1",10,0,1,0.53062825106217,"100","0","2"
"54",2278,10.3806840013216,"Ibudareign","Rvk",24,"1","1",104.3,4.62104353514438,"1","0","1","1","1","1","2",10,0,87,1.87180217690159,"75","57","2"
"56",2279,9.70899219481046,"Ibudareign","Grb",31,"1","0",96.6,4.11251186617755,"1","1","0","1","1","1","1",10,0,1,0.262364264467491,"500","0","2"
"57",2277,10.8402277612777,"Einbylishus","Hfj",11,"1","0",47.7,5.22305488204749,"1","1","2","2","1","3","2",10,50.3,1,-1.8,"630","0","1"
"58",2274,9.52857589747142,"Ibudareign","Hfj",50,"1","0",61,4.17284762371004,"1","1","0","1","1","1","1",10,0,506,1.50407739677627,"600","0","2"
"59",2278,10.081131519779,"Ibudareign","Rvk",54,"1","0",55.1,4.62986279857846,"1","1","0","1","1","3","1",10,0,662,1.7227665977411,"91","0","2"
"60",2277,10.1144775476778,"Ibudareign","Rvk",35,"1","0",107.5,4.60716818865076,"1","1","0","1","1","3","1",10,0,568,-1.8,"72","0","2"
"63",2278,10.1255905626751,"Ibudareign","Mos",14,"1","1",127.9,4.69866052907543,"1","1","0","1","1","2","1",10,0,517,2.47653840011748,"810","0","2"
"64",2277,9.84129294894301,"Ibudareign","Rvk",89,"1","0",36.4,3.9740583963476,"1","0","1","1","1","1","2",10,0,1,2.07944154167984,"25","0","2"
"67",2272,10.3235456629472,"Parhus","Grb",22,"1","0",44,4.59915211366253,"1","1","0","1","1","3","1",10,20.6,1,-1.8,"700","0","1"
"68",2273,10.0888046183099,"Ibudareign","Hfj",7,"1","0",61,4.48638664999812,"1","1","1","1","1","2","1",10,0,551,1.97408102602201,"640","0","2"
"69",2272,10.3187709695816,"Ibudareign","Grb",9,"1","1",124,4.58700621536042,"1","1","0","1","1","2","1",10,0,28,2.33214389523559,"511","0","2"
"70",2273,10.3384790999026,"Ibudareign","Kop",11,"1","1",153.8,4.84654650556336,"1","1","1","1","1","3","1",10,0,72,2.8094026953625,"351","0","2"
"71",2278,11.1000278037447,"Einbylishus","Rvk",15,"1","0",46,5.21981513839308,"2","0","2","2","1","3","2",10,22.5,44,-1.8,"180","0","1"
"72",2277,9.58850279755634,"Ibudareign","Rvk",39,"1","1",115,4.16044436392662,"1","1","0","1","1","1","1",10,0,101,2.09186406167839,"170","0","2"
"73",2278,10.393293809078,"Ibudareign","Rvk",35,"1","0",75.3,4.80073696953207,"1","1","1","1","1","3","1",10,33.7,102,2.83321334405622,"210","0","2"
"74",2279,9.65168729197211,"Ibudareign","Rvk",39,"1","0",52.5,4.16511363311031,"1","1","0","1","1","1","2",10,0,381,2.02814824729229,"150","0","2"
"75",2278,9.97562215029533,"Ibudareign","Rvk",58,"1","1",126.6,4.61313835563727,"1","1","0","1","1","3","1",10,0,90,1.06471073699243,"100","0","2"
"76",2279,9.48721424571136,"Ibudareign","Rvk",81,"1","0",40.5,3.93573953204546,"1","1","0","1","1","2","1",10,0,1,-1.8,"20","0","1"
"77",2271,9.54602658547643,"Ibudareign","Hfj",47,"1","1",142.2,4.17438726989564,"1","1","0","1","1","1","1",10,0,1,0.993251773010283,"600","0","2"
"78",2274,9.83037908071549,"Ibudareign","Hfj",27,"1","0",70.6,4.7740687224499,"1","1","1","1","1","3","1",10,0,670,1.91692261218206,"620","0","2"
"79",2272,10.955375042698,"Einbylishus","Kop",35,"1","0",41.4,5.58986695052631,"3","1","0","2","1","6","2",10,24,300,-1.8,"320","0","1"
"80",2272,10.993361775261,"Einbylishus","Kop",55,"1","0",86.5,5.21439213161028,"1","1","0","2","1","5","2",10,25.6,1,-1.8,"300","34","1"
"82",2277,11.6508509394614,"Einbylishus","Rvk",54,"1","0",68,5.59768094377366,"2","1","2","2","1","6","2",10,20,454,-1.8,"72","9","1"
"83",2273,10.245657810272,"Ibudareign","Rvk",61,"1","0",48.6,4.75874927391639,"1","1","0","2","1","4","1",10,0,564,1.80828877117927,"100","0","2"
"84",2277,9.60285532090872,"Ibudareign","Rvk",42,"1","1",157,4.26829786934554,"1","1","0","1","1","2","1",10,0,1,1.66770682055808,"160","0","2"
"86",2277,10.1015594194213,"Ibudareign","Hfj",33,"1","0",66,4.73795129722191,"2","0","1","1","1","4","1",10,22.9,691,1.38629436111989,"680","0","2"
"87",2272,10.1654671276355,"Ibudareign","Hfj",59,"1","0",43.1,4.58190155904874,"1","1","0","1","1","2","1",10,32,604,-1.8,"680","0","2"
"88",2271,9.73943804052962,"Ibudareign","Hfj",52,"1","0",61.5,3.94545778151438,"1","1","0","1","1","1","1",10,23.3,492,1.88706964903238,"600","0","2"
"89",2277,9.96048206405594,"Ibudareign","Rvk",12,"1","1",299.3,4.15888308335967,"1","0","1","1","1","1","1",10,0,466,1.85629799036563,"20","26","2"
"90",2277,9.9323665120865,"Ibudareign","Rvk",56,"1","0",43.4,4.22097721315547,"1","1","0","1","1","2","1",10,0,445,1.91692261218206,"91","28","2"
"91",2271,10.2362744351463,"Einbylishus","Hfj",92,"1","0",30.6,4.97189446577983,"3","1","1","2","1","6","2",10,0,1,-1.8,"600","0","1"
"92",2277,10.457056523841,"Ibudareign","Rvk",58,"1","0",39,4.74232002413533,"1","1","0","1","1","3","1",10,0,568,1.98787434815435,"70","0","2"
"93",2277,9.56191231773901,"Ibudareign","Rvk",86,"1","0",41,3.76815263500844,"1","1","0","1","1","1","1",10,0,1,2.16332302566054,"25","3","2"
"94",2277,10.0635635003828,"Ibudareign","Rvk",18,"1","1",146,4.48975933447676,"1","1","1","1","1","2","1",10,0,474,1.88706964903238,"110","0","2"
"95",2271,10.425431142036,"Ibudareign","Hfj",6,"1","1",102,4.78915702210111,"1","1","1","1","1","3","1",10,0,12,2.12823170584927,"640","0","2"
"96",2272,9.74008588059468,"Ibudareign","Rvk",11,"1","1",182.4,4.40671924726425,"1","0","1","1","1","1","1",10,0,1,1.97408102602201,"270","0","2"
"100",2270,9.7111762641128,"Ibudareign","Hfj",58,"1","0",53.6,4.4320065669789,"1","1","0","1","1","2","1",10,0,10,2.27212588550934,"600","0","2"
"101",2272,10.5038613329437,"Ibudareign","Kop",6,"1","1",86,4.66532410880784,"1","1","1","1","1","2","1",10,0,10,2.24070968927596,"320","44","2"
"102",2272,10.8186576567416,"Radhus","Kop",11,"1","0",30.7,5.24174701505964,"2","1","2","2","2","4","2",10,34.4,506,2.77258872223978,"350","0","1"
"103",2270,10.4512620800803,"Ibudareign","Kop",7,"1","1",77.7,4.63957161270542,"1","1","1","1","1","2","1",10,0,33,2.18605127673809,"320","44","2"
"104",2270,10.0907551906118,"Ibudareign","Kop",21,"1","0",61.4,4.65109911787649,"2","1","1","2","1","3","1",10,0,1,1.54756250871601,"330","0","2"
"105",2271,10.1260709469918,"Radhus","Mos",45,"1","0",46.5,4.54329478227,"1","0","1","2","1","3","1",10,28,1,-1.8,"800","0","1"
"106",2272,10.246190338908,"Ibudareign","Rvk",19,"1","0",79.2,4.76302827060367,"1","1","1","1","1","2","1",10,0,1,-1.8,"140","0","2"
"107",2277,10.2562548716438,"Ibudareign","Rvk",15,"1","0",82.8,4.76983680754333,"1","1","0","1","1","3","1",10,0,667,-1.8,"180","0","2"
"108",2272,10.2381724785832,"Ibudareign","Mos",14,"1","1",107,4.60916220725763,"1","0","1","1","1","2","1",10,0,646,1.94591014905531,"840","0","2"
"109",2272,9.88827238672965,"Ibudareign","Rvk",46,"1","0",58.8,4.62104353514438,"1","1","1","1","1","3","2",10,0,1,1.87180217690159,"160","21","2"
"111",2274,10.5248164453056,"Ibudareign","Hfj",63,"1","0",55.9,5.02256386496153,"1","1","0","1","1","5","1",10,35,332,3.90801498403061,"600","0","1"
"112",2270,10.7312967363395,"Einbylishus","Grb",30,"1","0",43.6,5.30826769740121,"2","0","1","2","1","5","2",10,58,1,-1.8,"700","0","1"
"113",2270,10.6915584746064,"Einbylishus","Hfj",14,"1","0",66,5.23271160945004,"1","1","1","2","1","4","1",10,28.7,1,-1.8,"630","0","1"
"114",2273,10.2571680174945,"Ibudareign","Rvk",33,"1","0",74.4,4.59713801429083,"1","1","0","1","1","3","1",10,0,91,-1.8,"72","0","2"
"115",2277,10.7646883180923,"Ibudareign","Rvk",69,"1","0",54.3,5.01063529409626,"1","1","0","1","1","3","2",10,40,245,3.57515068878559,"90","0","2"
"116",2270,10.0931156845125,"Ibudareign","Rvk",41,"1","0",33.8,4.61214579972452,"2","1","0","1","1","3","1",10,0,381,-1.8,"281","0","2"
"117",2271,10.1808919905768,"Ibudareign","Rvk",20,"1","0",48,4.48074010760991,"1","1","0","1","1","2","1",10,27.2,653,3.23867845216438,"130","0","2"
"123",2271,10.0204702680217,"Ibudareign","Rvk",35,"1","0",36,4.29456060889261,"1","0","1","1","1","1","1",10,0,1,-1.8,"80","0","1"
"124",2272,9.72136597574484,"Ibudareign","Rvk",40,"1","0",69.4,4.16355963124357,"1","1","0","1","1","2","1",10,20.8,1,-1.8,"160","0","2"
"125",2271,10.2375282639659,"Ibudareign","Rvk",40,"1","0",61.8,4.72650247115562,"1","1","1","1","1","3","2",10,0,42,2.16332302566054,"200","0","2"
"127",2267,9.88052594089878,"Ibudareign","Hfj",13,"1","1",199.6,4.28908863901461,"1","1","0","1","1","2","1",10,0,28,2.07944154167984,"600","0","2"
"128",2266,9.50465043071818,"Ibudareign","Hfj",25,"1","0",54.2,4.14472076954717,"1","1","0","1","1","1","1",10,0,1,-1.8,"650","0","2"
"129",2270,10.7275972038646,"Einbylishus","Kop",65,"1","0",43.7,5.35185813347607,"2","1","1","2","1","5","2",10,60.5,1,-1.8,"320","0","1"
"130",2271,10.6071542088862,"Einbylishus","Grb",35,"1","0",34.8,4.88431592741759,"2","0","1","2","1","3","1",10,33,1,-1.8,"500","0","1"
"131",2270,10.4725160445097,"Ibudareign","Kop",10,"1","0",70,5.12693574979242,"1","1","1","1","1","2","1",8,27.3,1,-1.8,"300","0","2"
"133",2271,10.1094035581837,"Ibudareign","Rvk",53,"1","0",63,4.60916220725763,"1","1","0","1","1","2","2",10,20.5,551,-1.8,"91","28","2"
"134",2271,10.3629040857368,"Ibudareign","Rvk",11,"1","1",590.9,4.39937527300849,"1","0","1","1","1","2","1",10,0,79,1.94591014905531,"280","0","2"
"135",2271,9.58135205201497,"Ibudareign","Rvk",47,"1","0",68.7,4.06560209335645,"1","1","0","1","1","1","1",10,0,278,1.56861591791385,"170","0","2"
"137",2270,9.99706896615766,"Ibudareign","Hfj",42,"1","0",73.3,4.63957161270542,"1","1","1","1","1","3","1",10,0,454,2.79728133483015,"600","0","2"
"138",2270,10.3446736672187,"Ibudareign","Hfj",10,"1","1",175,4.70953020131233,"1","1","1","1","1","2","1",10,0,77,2.42480272571829,"600","18","2"
"139",2277,10.6289324993952,"Ibudareign","Rvk",88,"1","0",42,4.5685062016165,"1","1","1","1","1","1","2",10,30,154,-1.8,"31","0","2"
"140",2274,11.0944966904702,"Einbylishus","Rvk",55,"1","0",55,5.64791734181481,"2","2","2","2","1","6","2",10,23.9,349,-1.8,"283","0","1"
"141",2270,9.66744871323619,"Ibudareign","Rvk",59,"1","0",43,4.32280727501391,"1","1","1","1","1","2","1",10,0,1,-1.8,"100","0","2"
"142",2274,10.0320566533308,"Ibudareign","Rvk",24,"1","0",80.3,4.32545628318549,"1","1","0","1","1","2","1",10,0,551,1.64865862558738,"130","0","2"
"149",2271,9.30546871706776,"Ibudareign","Rvk",68,"1","0",32.1,4.04129534113228,"1","0","1","1","1","1","1",10,0,1,-1.6094379124341,"20","4","2"
"150",2271,10.0516057879886,"Ibudareign","Rvk",49,"1","0",53,4.40182926197006,"1","1","1","1","1","3","1",10,0,610,1.45861502269952,"280","0","2"
"151",2267,10.2335823536195,"Ibudareign","Rvk",61,"1","0",127.5,4.82269799851667,"1","1","0","1","1","4","1",10,0,1,0.336472236621213,"80","0","2"
"152",2267,9.25779631313248,"Ibudareign","Rvk",98,"1","0",35,3.88362353090645,"1","0","1","1","1","2","1",10,0,1,0.262364264467491,"72","0","2"
"153",2270,10.1315788435743,"Ibudareign","Rvk",55,"1","0",57.4,4.40305400186596,"1","1","1","1","1","3","1",10,0,381,1.75785791755237,"70","0","2"
"154",2270,9.82401135103433,"Ibudareign","Rvk",71,"1","0",45.8,4.28634138453947,"1","1","0","1","1","2","1",10,0,1,0.641853886172395,"80","0","2"
"155",2265,9.76921302671366,"Ibudareign","Rvk",77,"1","0",57,4.01998014693324,"1","0","1","1","1","1","1",10,0,1,1.41098697371026,"25","0","2"
"156",2277,9.75086071107721,"Ibudareign","Rvk",57,"1","0",134,4.21950770517611,"1","1","0","1","1","2","1",10,0,445,1.94591014905531,"91","28","2"
"157",2271,10.7991264966794,"Radhus","Rvk",48,"1","0",28,5.19351225218191,"2","1","1","2","1","3","2",10,19.4,39,-1.8,"280","0","1"
"158",2280,10.3087193000845,"Ibudareign","Rvk",33,"1","1",241,4.60517018598809,"1","0","1","1","1","2","2",10,0,595,1.97408102602201,"85","0","2"
"159",2264,9.15841529911126,"Ibudareign","Hfj",49,"1","0",61.8,3.75185425327532,"1","0","1","1","1","1","1",10,0,1,1.41098697371026,"600","0","2"
"160",2274,10.5261854444054,"Einbylishus","Rvk",64,"2","0",35,4.74232002413533,"1","1","1","2","2","3","2",10,0,1,2.05412373369555,"75","0","1"
"161",2271,10.4878517006369,"Einbylishus","Rvk",20,"1","0",53,5.2501769912201,"2","0","1","1","1","3","2",10,21.7,42,-1.8,"100","1","1"
"162",2267,10.671394278644,"Einbylishus","Mos",43,"1","0",59.8,4.95582705760126,"1","1","1","2","1","5","2",10,43.3,1,3.93963817246112,"800","0","1"
"165",2265,9.72913416539135,"Ibudareign","Kop",36,"1","0",103,4.30000279919529,"1","1","0","1","1","2","1",10,0,568,-1.8,"320","0","2"
"166",2265,10.1647743136284,"Ibudareign","Kop",17,"1","1",84,4.50645421304893,"1","1","1","1","1","2","1",10,0,619,1.91692261218206,"340","0","2"
"167",2265,10.4744670991219,"Ibudareign","Kop",23,"1","0",48.9,5.02453819926525,"1","1","1","1","1","4","1",10,0,1,-1.8,"330","0","1"
"169",2267,9.96514693292286,"Ibudareign","Rvk",29,"1","0",93.1,4.57057874121847,"1","1","0","1","1","2","2",10,0,41,-1.8,"120","0","2"
"170",2266,10.0935705777238,"Ibudareign","Mos",25,"1","0",73.6,4.84811636459848,"1","1","0","1","1","3","2",10,0,13,-1.8,"840","0","2"
"171",2265,9.76451280024554,"Ibudareign","Rvk",47,"1","0",49.7,4.03953632572711,"1","1","0","1","1","1","1",10,0,683,1.52605630349505,"70","0","2"
"172",2265,9.73240262766816,"Ibudareign","Rvk",76,"1","0",52,4.19418989719182,"2","1","0","1","1","1","1",10,0,257,1.75785791755237,"72","3","2"
"173",2264,9.75237392286637,"Ibudareign","Kop",39,"1","0",64,4.28634138453947,"1","1","0","1","1","2","1",10,0,536,-1.8,"320","15","2"
"174",2265,9.61487171092426,"Ibudareign","Rvk",80,"1","0",33.6,3.83297979808769,"1","0","1","1","1","1","1",10,0,1,1.58923520511658,"72","0","2"
"175",2270,10.3572347592623,"Ibudareign","Rvk",82,"1","0",80.1,4.52070102936164,"1","1","0","1","1","1","1",10,0,1,3.02529107579554,"25","0","2"
"177",2266,9.74096862303835,"Ibudareign","Rvk",66,"1","0",45,4.48413185761104,"1","1","0","1","1","2","1",10,0,1,-1.8,"100","0","2"
"178",2267,9.68352643191322,"Ibudareign","Rvk",83,"1","0",46,3.93573953204546,"1","1","0","1","1","2","1",10,0,1,2.69462718077007,"25","3","2"
"179",2265,9.91625569181381,"Ibudareign","Rvk",50,"1","0",62,4.45667017766965,"1","1","0","1","1","4","1",10,32.4,1,-1.8,"100","0","2"
"180",2270,9.78616690995958,"Ibudareign","Rvk",69,"1","0",52.3,4.19418989719182,"1","1","1","1","1","3","1",10,0,551,2.50959926237837,"100","0","2"
"181",2265,10.1399815882185,"Ibudareign","Rvk",57,"1","0",64.7,4.46475803227135,"1","1","0","1","1","2","2",10,0,454,1.94591014905531,"70","0","2"
"182",2265,9.76944174190706,"Ibudareign","Rvk",55,"1","0",92.3,4.09933210373314,"1","1","0","1","1","1","1",10,0,351,1.50407739677627,"100","0","2"
"183",2273,9.9908113807078,"Ibudareign","Rvk",63,"1","0",119.4,4.62202730305451,"1","1","0","1","1","3","1",10,0,430,2.85647020622048,"80","0","2"
"184",2270,9.87204848370075,"Ibudareign","Rvk",22,"1","0",64.6,4.47278099794235,"1","1","0","1","1","2","1",10,0,685,1.56861591791385,"130","0","2"
"185",2264,10.0370126951411,"Ibudareign","Rvk",70,"1","0",48.5,4.54116485601218,"1","1","0","1","1","2","1",10,0,1,0.8754687373539,"100","0","2"
"186",2264,9.43348392329039,"Ibudareign","Rvk",82,"1","0",30.7,3.90399083373088,"1","1","0","1","1","1","1",10,0,1,1.6094379124341,"90","12","2"
"187",2263,10.6201070892812,"Parhus","Mos",14,"1","0",44.5,4.76813901426623,"1","1","1","1","1","2","2",10,31.7,1,2.70805020110221,"810","0","1"
"188",2265,10.5213722485955,"Radhus","Rvk",44,"1","0",41.2,5.2533200006173,"2","1","1","2","1","5","2",10,20,86,-1.8,"170","0","1"
"189",2280,10.0051412062626,"Radhus","Hfj",34,"1","0",43.7,4.7202829930886,"3","1","1","1","1","4","1",10,24.2,591,-1.8,"600","56","1"
"190",2264,9.6778408710038,"Ibudareign","Grb",15,"1","0",91.1,4.24132675257075,"1","0","1","1","1","1","1",9.6,0,632,1.90210752639692,"700","0","2"
"191",2263,9.79434210527533,"Ibudareign","Hfj",29,"1","1",371,4.14946386144318,"1","1","0","1","1","1","1",10,0,512,-1.8,"600","0","2"
"192",2266,9.90348755253613,"Ibudareign","Rvk",58,"1","1",126.6,4.4188406077966,"1","1","0","1","1","2","1",10,0,646,1.64865862558738,"100","0","2"
"193",2263,10.502736056652,"Ibudareign","Rvk",53,"1","0",57.9,4.94092788167144,"1","1","1","2","1","3","2",10,31.7,55,-1.8,"80","0","2"
"194",2260,10.1010671117191,"Ibudareign","Rvk",62,"1","0",47.3,4.48863636973214,"1","0","1","1","1","1","2",10,0,1,-1.8,"90","13","2"
"195",2260,9.7434361643879,"Ibudareign","Sel",46,"1","0",105.4,4.12552017969055,"1","1","0","1","1","1","1",10,0,73,2.12823170584927,"400","0","2"
"196",2263,10.3472113727614,"Ibudareign","Rvk",18,"1","1",148.7,4.5798523780038,"1","0","1","1","1","2","1",10,0,619,1.77495235091167,"90","46","2"
"197",2264,10.4505679569613,"Ibudareign","Rvk",27,"1","1",196.8,4.44617445449763,"1","0","1","1","1","2","1",10,0,646,-1.8,"281","0","2"
"198",2264,10.1314992352472,"Ibudareign","Rvk",53,"1","0",58.9,4.54648118963941,"1","1","0","1","1","3","1",10,0,35,1.82454929205105,"72","0","2"
"200",2263,9.5645121856968,"Ibudareign","Kop",40,"1","1",128.3,4.35799005684564,"1","1","0","1","1","2","1",10,0,130,-1.8,"320","62","2"
"202",2263,9.43859086065854,"Ibudareign","Rvk",79,"1","0",30,4.01818320125654,"1","0","1","1","1","1","1",10,0,1,-1.8,"72","0","2"
"203",2263,9.6166717714123,"Ibudareign","Rvk",47,"1","0",66,4.42124734782716,"2","1","0","1","1","3","1",10,0,437,1.50407739677627,"170","0","2"
"204",2260,10.2334026235736,"Ibudareign","Rvk",18,"1","1",97.8,4.67282883446191,"1","1","0","1","1","3","1",10,0,542,2.51769647261099,"140","0","2"
"205",2260,9.94381342400769,"Ibudareign","Rvk",47,"1","0",61,4.39691524716763,"1","1","1","1","1","3","1",10,0,62,1.54756250871601,"280","0","2"
"206",2263,10.2090586578236,"Ibudareign","Rvk",35,"1","0",58,4.7361984483945,"2","1","0","1","1","4","1",10,0,512,-1.8,"72","0","2"
"207",2260,9.95389545507997,"Ibudareign","Grb",18,"1","0",61.7,4.29045944114839,"1","0","1","1","1","1","1",10,0,1,0.916290731874155,"520","0","2"
"208",2266,10.7245660998043,"Einbylishus","Hfj",22,"1","0",43.4,5.03500265054455,"1","1","0","1","1","3","2",9.8,56.7,1,-1.8,"650","0","1"
"209",2270,10.6336173666936,"Radhus","Kop",33,"1","0",47.6,5.21873288720519,"2","1","1","2","1","4","1",10,24.6,125,-1.8,"300","0","1"
"210",2264,10.5502504225385,"Ibudareign","Kop",10,"1","1",200.1,4.9119193211571,"1","0","2","2","1","2","1",10,0,559,2.2082744135228,"350","0","2"
